Instrument Group,Instrument,Department,Risk Country,Exchange,Trade CCY,Settlement CCY
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,ARGENTINA,Bolsas Y Mercados Argentinos,NZD,ARS
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,ARGENTINA,Bolsas Y Mercados Argentinos,RON,ARS
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,ASIA PACIFIC REGION,KOREA EXCHANGE,DOP,HKD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,ASIA PACIFIC REGION,"IRISH STOCK EXCHANGE	",USD,HKD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,AUSTRALIA,ASX,THB,AUD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EIS,AUSTRIA,Vienna Stock Exchange,TRY,PKR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,BAHRAIN,Kuwait Stock Exchange,RSD,KWD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,BELGIUM,Euronext Brussels,PKR,BEL
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,BELGIUM,Euronext Brussels,NZD,EUR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,BRAZIL,BMNFBOVEURA,INR,BRL
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,CANADA,VENTURE,JPY,CAD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,CANADA,VENTURE,ARS,ZAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,CANADA,VENTURE,QAR,ZAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",TPS,CHINA,SHENZHEN HK STOCK CONNECT (C1),EUR,SGD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,CHINA,SHENZHEN HK STOCK CONNECT (C1),RON,SGD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,COLUMBIA,BOLSA DE VALORES DE COLOMBIA,NOK,COP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",PE,COLUMBIA,BOLSA DE VALORES DE COLOMBIA,PEN,COP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,DENMARK,NASDAQ OMX Copenhagen,HKD,HUF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",ISG,DOMINICAN REPUBLIC,Not Applicable,GBP,DOP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,EGYPT,EGYPTIAN STOCK EXCHANGE,KZT,EGP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EQD,EGYPT,EGYPTIAN STOCK EXCHANGE,KES,EGP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",PE,EURO,LCH Clearnet,GBP,EUR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,EURO,LCH Clearnet,BRL,EUR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,EUROPE REGION,Not Applicable,CLP,EUR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,EUROPE REGION,Not Applicable,SEK,EUR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",PE,EUROPE REGION,Not Applicable,KES,EUR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",ISG,EUROZONE,Not Applicable,TRL,BEF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,GERMANY ,Eurex,SGD,HUF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EQD,GERMANY ,Eurex,INR,PKR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,GERMANY ,Eurex,NGN,SEK
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",RE,GLOBAL,EURONEXT-LISBON,NGN,RON
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",ISG,GLOBAL,BOLSA DE VALORES DE COLOMBIA,QAR,SGD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",ISG,GREECE,ATHENS STOCK EXCHANGE,QAR,EUR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,HONG KONG,HK FUT EXCH,MXN,SGD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,HONG KONG,MEXICAN STOCK EXCHANGE,TWD,SGD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,HUNGARY,Budapest Stock Exchange,HUF,PEN
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",RE,HUNGARY,Budapest Stock Exchange,PLN,AUD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,HUNGARY,Budapest Stock Exchange,NOK,TWD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,HUNGARY,Budapest Stock Exchange,TWD,AUD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,IRELAND,"IRISH STOCK EXCHANGE	",PLN,CHF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,IRELAND,"IRISH STOCK EXCHANGE	",ZAR,TWD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,ISRAEL,Tel Aviv Stock Exchange,PHP,KWD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,JAPAN,"JASDAQ	",BRL,QAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,JAPAN,"JASDAQ	",NZD,SEK
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,JAPAN,"JASDAQ	",CLP,CHF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,KAZAKHSTAN,Not Applicable,KZT,ZAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",TPS,KUWAIT,Kuwait Stock Exchange,DKK,KWD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",TPS,LUXEMBOURG,LUXEMBOURG STOCK EXCHANGE,THB,THB
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",PE,MACAU,Not Applicable,TWD,SAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,MALAYSIA,Bursa Malaysia,PHP,SAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,MALAYSIA,Bursa Malaysia,SEK,ZAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,MALAYSIA,Bursa Malaysia,EGP,RON
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EQD,MEXICO,MEXDER Exchange,PLN,CZK
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",PE,MEXICO,MEXDER Exchange,VND,KES
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,NETHERLANDS,Euronext Amsterdam,THB,QAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",RE,NETHERLANDS,Euronext Amsterdam,ZAR,VND
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,NETHERLANDS,Euronext Amsterdam,CNH,AED
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,NORWAY,Oslo Bors,PHP,PLN
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EIS,NORWAY,Oslo Bors,NZD,MYR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",TPS,Not Applicable,Chicago Board Options Exchange,CZK,VND
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,Not Applicable,Mercado Mexicano de Derivados,JPY,NZD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,PAKISTAN,Pakistan Stock Exchange,SGD,INR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,PERU,Lima,UYU,AUD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,PERU,Lima,AED,PEN
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",TPS,POLAND,Warsaw Stock Exchange,XAU,BRL
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",PE,PORTUGAL,EURONEXT LISBON,TRY,HKD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,QATAR,Qatar,HKD,RSD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EQD,ROMANIA,Bucharest Stock Exchange,LKR,SAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,ROMANIA,Bucharest Stock Exchange,RUB,HUF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,ROMANIA,Bucharest Stock Exchange,EUR,CNH
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,RUSSIA FEDERATION,MOSCOW EXCHANGE-MICEX,AUD,RSD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,RUSSIA FEDERATION,MOSCOW EXCHANGE-MICEX,SEK,KRW
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,RUSSIA FEDERATION,MOSCOW EXCHANGE-MICEX,CAD,HKD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EQD,SAUDI ARABIA,SAUDI ARABIA STOCK EXCHANGE,XAU,NOK
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,SAUDI ARABIA,SAUDI ARABIA STOCK EXCHANGE,PLN,CNH
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EQD,SERBIA,Not Applicable,HUF,ARS
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,SERBIA,Not Applicable,QAR,HKD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,SERBIA,Not Applicable,PEN,THB
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,SINGAPORE,Singapore Exchange,COP,INR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,SINGAPORE,Singapore Exchange,UYU,DKK
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,SLOVAKIA,Bratislava Stock Exchange,DKK,TRY
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,SLOVAKIA,Bratislava Stock Exchange,EGP,CNH
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,SOUTH AFRICA,South African Futures Exchange,ILS,RSD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,SOUTH KOREA,KOREA EXCHANGE,TRL,CLP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,SOUTH KOREA,KOREA EXCHANGE,PKR,ARS
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,SPAIN ,MEFF Renta Variable,NOK,LKR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,SRI LANKA,Colombo,PHP,BEF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,SRI LANKA,Colombo,UYU,AUD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",TPS,SRI LANKA,Colombo,XAU,BEF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",ISG,SRI LANKA,Colombo,PKR,CHF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,SWEDEN,"	NASDAQ OMX Stockholm",CNY,CZK
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,SWEDEN,"	NASDAQ OMX Stockholm",NGN,SAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EIS,SWITZERLAND,SIX SWISS EXCHANGE (VX),KZT,NGN
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BAR,SWITZERLAND,SIX SWISS EXCHANGE (VX),KZT,RUB
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,SWITZERLAND,SIX SWISS EXCHANGE (VX),CNH,NOK
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,SWITZERLAND,SIX SWISS EXCHANGE (VX),BEF,RON
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,SWITZERLAND,SIX SWISS EXCHANGE (VX),TWD,AUD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EIS,TAIWAN,Taiwan Futures Exchange,DOP,JPY
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",PE,TAIWAN,Taiwan Futures Exchange,QAR,INR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",TPS,TAIWAN,Taiwan Futures Exchange,NZD,SAR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,THAILAND,Thailand Futures Exchange,EGP,BRL
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,THAILAND,Thailand Futures Exchange,UAH,PHP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,THAILAND,Thailand Futures Exchange,COP,CAD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",FIMA,TURKEY,BORSA ISTANBUL,ZAR,HKD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,TURKEY,BORSA ISTANBUL,NZD,MXN
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,TURKEY,BORSA ISTANBUL,UYU,CNY
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EMD,TURKEY,BORSA ISTANBUL,VND,CHF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,UAE,"Abu Dhabi	",CHF,HUF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",TPS,UKRAINE,Not Applicable,TWD,TWD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EQD,UNITED STATES,NASDAQ CAPITAL MARKET(CM),RUB,RUB
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",Kepler,UNITED STATES,NASDAQ CAPITAL MARKET(CM),RSD,PEN
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,UNITED STATES,NASDAQ CAPITAL MARKET(CM),AED,DOP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",BMG,UNITED STATES,NASDAQ CAPITAL MARKET(CM),UYU,DOP
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",ISG,URUGUAY,Not Applicable,MXN,RSD
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",ISG,VIETNAM,"Hanoi UPCoM	",CHF,PKR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EQD,VIETNAM,"Hanoi UPCoM	",JPY,CHF
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,VIETNAM,"Hanoi UPCoM	",VND,ARS
Bonds,Credit Linked Notes,EQD,ARGENTINA,Bolsas Y Mercados Argentinos,NGN,ARS
Bonds,Credit Linked Notes,PE,ARGENTINA,Bolsas Y Mercados Argentinos,KES,USD
Bonds,Credit Linked Notes,FIMA,ARGENTINA,Bolsas Y Mercados Argentinos,PHP,USD
Bonds,Credit Linked Notes,RE,ASIA PACIFIC REGION,Brasil Bolsa Balcao (B3),BEF,SGD
Bonds,Credit Linked Notes,EIS,ASIA PACIFIC REGION,BOMBAY STOCK EXCHANGE,NGN,INR
Bonds,Credit Linked Notes,BAR,ASIA PACIFIC REGION,London Metal Exchange,USD,INR
Bonds,Credit Linked Notes,INFRA,ASIA PACIFIC REGION,BMNFBOVEURA,MYR,KRW
Bonds,Credit Linked Notes,Kepler,AUSTRALIA,ASX,KZT,AUD
Bonds,Credit Linked Notes,EQD,AUSTRALIA,ASX,TWD,AUD
Bonds,Credit Linked Notes,EIS,AUSTRALIA,ASX,INR,AUD
Bonds,Credit Linked Notes,EFM,AUSTRALIA,ASX,INR,AUD
Bonds,Credit Linked Notes,ISG,AUSTRIA,Vienna Stock Exchange,SEK,DOP
Bonds,Credit Linked Notes,EIS,AUSTRIA,Vienna Stock Exchange,TRY,VND
Bonds,Credit Linked Notes,EMD,BAHRAIN,Kuwait Stock Exchange,MYR,KWD
Bonds,Credit Linked Notes,EQD,BAHRAIN,Kuwait Stock Exchange,TWD,KWD
Bonds,Credit Linked Notes,EFM,BAHRAIN,Kuwait Stock Exchange,JPY,KWD
Bonds,Credit Linked Notes,INFRA,BELGIUM,NYSE EURONEXTBRUSSELS,INR,BEL
Bonds,Credit Linked Notes,INFRA,BELGIUM,NYSE EURONEXTBRUSSELS,JPY,BEL
Bonds,Credit Linked Notes,EIS,BELGIUM,NYSE EURONEXTBRUSSELS,PHP,BEL
Bonds,Credit Linked Notes,RE,BELGIUM,NYSE EURONEXTBRUSSELS,JPY,BEL
Bonds,Credit Linked Notes,ISG,BRAZIL,Brasil Bolsa Balcao (B3),PLN,USD
Bonds,Credit Linked Notes,BAR,BRAZIL,Brasil Bolsa Balcao (B3),HUF,USD
Bonds,Credit Linked Notes,PE,BRAZIL,Brasil Bolsa Balcao (B3),DKK,USD
Bonds,Credit Linked Notes,EIS,CANADA,Montreal Exchange,MYR,USD
Bonds,Credit Linked Notes,BAR,CANADA,Montreal Exchange,RUB,USD
Bonds,Credit Linked Notes,TPS,CHILE,SANTIAGO STOCK EXCHANGE,EUR,USD
Bonds,Credit Linked Notes,TPS,CHINA,SHENZHEN STOCK EXCHANGE,CLP,JPY
Bonds,Credit Linked Notes,CEOO,CHINA,SHENZHEN STOCK EXCHANGE,SEK,JPY
Bonds,Credit Linked Notes,BMG,CHINA,SHENZHEN STOCK EXCHANGE,THB,USD
Bonds,Credit Linked Notes,BAR,CHINA,SHENZHEN STOCK EXCHANGE,CHF,USD
Bonds,Credit Linked Notes,INFRA,CHINA,HK Growth Enterprise Mkt (GEM),BEF,USD
Bonds,Credit Linked Notes,EQD,CHINA,Hong Kong Stock Exchange,CNY,CAD
Bonds,Credit Linked Notes,PE,COLUMBIA,BOLSA DE VALORES DE COLOMBIA,INR,MYR
Bonds,Credit Linked Notes,PE,COLUMBIA,BOLSA DE VALORES DE COLOMBIA,EUR,PLN
Bonds,Credit Linked Notes,Kepler,COLUMBIA,BOLSA DE VALORES DE COLOMBIA,LKR,KES
Bonds,Credit Linked Notes,EMD,CZECH REPUBLIC,PRAGUE STOCK EXCHANGE,QAR,HUF
Bonds,Credit Linked Notes,INFRA,CZECH REPUBLIC,PRAGUE STOCK EXCHANGE,DKK,EUR
Bonds,Credit Linked Notes,EFM,CZECH REPUBLIC,PRAGUE STOCK EXCHANGE,DOP,KRW
Bonds,Credit Linked Notes,INFRA,CZECH REPUBLIC,PRAGUE STOCK EXCHANGE,ARS,RON
Bonds,Credit Linked Notes,EIS,CZECH REPUBLIC,PRAGUE STOCK EXCHANGE,EGP,KWD
Bonds,Credit Linked Notes,PE,DENMARK,OMX Nordic Exchange Copenhagen,RON,CHF
Bonds,Credit Linked Notes,RE,DENMARK,OMX Nordic Exchange Copenhagen,NZD,CNH
Bonds,Credit Linked Notes,INFRA,DENMARK,OMX Nordic Exchange Copenhagen,SEK,UAH
Bonds,Credit Linked Notes,BAR,DENMARK,OMX Nordic Exchange Copenhagen,HUF,BEF
Bonds,Credit Linked Notes,EIS,DOMINICAN REPUBLIC,Not Applicable,CNH,SGD
Bonds,Credit Linked Notes,EMD,DOMINICAN REPUBLIC,Not Applicable,KWD,COP
Bonds,Credit Linked Notes,CEOO,DOMINICAN REPUBLIC,Not Applicable,DKK,INR
Bonds,Credit Linked Notes,Kepler,EURO,LCH Clearnet,TRY,RSD
Bonds,Credit Linked Notes,EMD,EURO,LCH Clearnet,DKK,LKR
Bonds,Credit Linked Notes,RE,EURO,LCH Clearnet,EUR,EGP
Bonds,Credit Linked Notes,EFM,EUROPE REGION,Not Applicable,BRL,EUR
Bonds,Credit Linked Notes,Kepler,EUROPE REGION,Not Applicable,AED,EUR
Bonds,Credit Linked Notes,ISG,EUROPE REGION,Not Applicable,EUR,LKR
Bonds,Credit Linked Notes,EQD,EUROZONE,Not Applicable,BEF,NZD
Bonds,Credit Linked Notes,EQD,EUROZONE,Not Applicable,USD,NZD
Bonds,Credit Linked Notes,EMD,EUROZONE,Not Applicable,SAR,RUB
Bonds,Credit Linked Notes,FIMA,FINLAND,NASDAQ OMX HELSINKII,PLN,GBP
Bonds,Credit Linked Notes,INFRA,FINLAND,NASDAQ OMX HELSINKII,KES,DOP
Bonds,Credit Linked Notes,BAR,FRANCE,Eurex,LKR,KES
Bonds,Credit Linked Notes,INFRA,FRANCE,Eurex,KZT,CZK
Bonds,Credit Linked Notes,EFM,GERMANY ,Eurex,ZAR,ARS
Bonds,Credit Linked Notes,EMD,GLOBAL,BMNFBOVEURA,EUR,UAH
Bonds,Credit Linked Notes,FIMA,GLOBAL,BMNFBOVEURA,SAR,PLN
Bonds,Credit Linked Notes,BAR,GLOBAL,Mercado Mexicano de Derivados,MXN,NOK
Bonds,Credit Linked Notes,EMD,GREECE,ATHENS STOCK EXCHANGE,NGN,SGD
Bonds,Credit Linked Notes,EIS,GREECE,ATHENS STOCK EXCHANGE,AED,KWD
Bonds,Credit Linked Notes,EFM,GREECE,ATHENS STOCK EXCHANGE,HKD,ILS
Bonds,Credit Linked Notes,EFM,HONG KONG,HK FUT EXCH,SAR,USD
Bonds,Credit Linked Notes,CEOO,HONG KONG,HK FUT EXCH,CNH,USD
Bonds,Credit Linked Notes,INFRA,HONG KONG,Hong Kong Stock Exchange,RUB,USD
Bonds,Credit Linked Notes,BAR,HONG KONG,Hong Kong Stock Exchange,DKK,USD
Bonds,Credit Linked Notes,BAR,HONG KONG,Hong Kong Stock Exchange,TWD,USD
Bonds,Credit Linked Notes,RE,HONG KONG,Hong Kong Stock Exchange,COP,USD
Bonds,Credit Linked Notes,EIS,HONG KONG,China Financial Futures Exchange,VND,CAD
Bonds,Credit Linked Notes,PE,INDIA,BOMBAY STOCK EXCHANGE,GBP,AED
Bonds,Credit Linked Notes,FIMA,INDIA,BOMBAY STOCK EXCHANGE,USD,CHF
Bonds,Credit Linked Notes,RE,INDIA,BOMBAY STOCK EXCHANGE,KZT,DKK
Bonds,Credit Linked Notes,TPS,INDIA,BOMBAY STOCK EXCHANGE,DKK,NZD
Bonds,Credit Linked Notes,PE,INDONESIA,INDONESIA STOCK EXCHANGE,INR,MXN
Bonds,Credit Linked Notes,BAR,INDONESIA,INDONESIA STOCK EXCHANGE,GBP,EUR
Bonds,Credit Linked Notes,RE,INDONESIA,INDONESIA STOCK EXCHANGE,KRW,PLN
Bonds,Credit Linked Notes,Kepler,INDONESIA,INDONESIA STOCK EXCHANGE,BEF,CLP
Bonds,Credit Linked Notes,EMD,IRELAND,"IRISH STOCK EXCHANGE	",RUB,AUD
Bonds,Credit Linked Notes,INFRA,IRELAND,"IRISH STOCK EXCHANGE	",BEF,DKK
Bonds,Credit Linked Notes,EIS,IRELAND,"IRISH STOCK EXCHANGE	",PKR,NZD
Bonds,Credit Linked Notes,INFRA,ISRAEL,Tel Aviv Stock Exchange,NGN,TWD
Bonds,Credit Linked Notes,BMG,ISRAEL,Tel Aviv Stock Exchange,DOP,CAD
Bonds,Credit Linked Notes,EQD,ISRAEL,Tel Aviv Stock Exchange,AED,DOP
Bonds,Credit Linked Notes,ISG,ITALY,Borsa Italiana,NOK,AED
Bonds,Credit Linked Notes,BMG,ITALY,Borsa Italiana,CNY,LKR
Bonds,Credit Linked Notes,EQD,ITALY,Borsa Italiana,LKR,CNH
Bonds,Credit Linked Notes,BAR,JAPAN,TOKYO STOCK EXCHANGE,KRW,KRW
Bonds,Credit Linked Notes,CEOO,JAPAN,TOKYO STOCK EXCHANGE,COP,CLP
Bonds,Credit Linked Notes,ISG,JAPAN,TOKYO STOCK EXCHANGE,KES,SEK
Bonds,Credit Linked Notes,BMG,KAZAKHSTAN,Not Applicable,NZD,CZK
Bonds,Credit Linked Notes,INFRA,KAZAKHSTAN,Not Applicable,RSD,CHF
Bonds,Credit Linked Notes,EIS,KAZAKHSTAN,Not Applicable,NOK,NGN
Bonds,Credit Linked Notes,Kepler,KAZAKHSTAN,Not Applicable,ARS,KZT
Bonds,Credit Linked Notes,ISG,KUWAIT,Kuwait Stock Exchange,AED,RON
Bonds,Credit Linked Notes,INFRA,KUWAIT,Kuwait Stock Exchange,COP,RUB
Bonds,Credit Linked Notes,EFM,LUXEMBOURG,LUXEMBOURG STOCK EXCHANGE,TWD,NGN
Bonds,Credit Linked Notes,ISG,LUXEMBOURG,LUXEMBOURG STOCK EXCHANGE,MYR,VND
Bonds,Credit Linked Notes,Kepler,LUXEMBOURG,LUXEMBOURG STOCK EXCHANGE,AED,TWD
Bonds,Credit Linked Notes,EFM,LUXEMBOURG,LUXEMBOURG STOCK EXCHANGE,IDR,CZK
Bonds,Credit Linked Notes,BAR,LUXEMBOURG,LUXEMBOURG STOCK EXCHANGE,IDR,ZAR
Bonds,Credit Linked Notes,INFRA,MACAU,Not Applicable,EGP,NGN
Bonds,Credit Linked Notes,INFRA,MACAU,Not Applicable,KRW,VND
Bonds,Credit Linked Notes,ISG,MACAU,Not Applicable,VND,SAR
Bonds,Credit Linked Notes,EFM,MALAYSIA,Bursa Malaysia,JPY,KZT
Bonds,Credit Linked Notes,FIMA,MEXICO,BMV Mexico (MEXICAN SE),PKR,NOK
Bonds,Credit Linked Notes,BAR,MEXICO,BMV Mexico (MEXICAN SE),UAH,TRY
Bonds,Credit Linked Notes,TPS,MEXICO,BMV Mexico (MEXICAN SE),SGD,TWD
